"IntID","LegID","LegType","LegRtType","LegSpeed","LegWidth","NumLanes","MergeLanes","PaveType","MedType","MedWidth","LegTCType","LTLanes","LTWidth","LTLnLength","LTOffset","RTLanes","RTWidth","RTLnLength","RTChannel","RTMoveCtrl","PedCross","Rumble","OneWay","TurnProhib","SightLt","SightRt","IntCat","AreaType","NumberLegs","IntTCType","Lighting","Terrain","Offset","OffsetDist","SkewAngle","NextPIDist","AADT","IntAADT","X5YrCrashCount","X1YrCrashCount","TotalAADT","TotalT5YearInM","Traffic","Lat","Long","County","City"
"116365","116365_3","2","3",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",14,13,1588,166,1370,0,0,428,0.30295,2.50025,32.01441,-87.61568,"Wilcox","Rural Wilcox"
"119402","119402_4","2","5",35,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,145,11570,4,0.8,332,0.264625,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"119402","119402_1","1","1",45,40,2,"0","1","1",0,"1",1,12,108,0,0,0,0,"1","1","1","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,21,11570,4,0.8,332,0.038325,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"119402","119402_3","2","5",35,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,145,11570,1,0.2,332,0.264625,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"119402","119402_2","1","1",45,36,2,"0","1","3",11,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,21,11570,1,0.2,332,0.038325,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"120600","120600_2","1","1",45,39,2,"0","1","4",17,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","5","2",3,"1","1","2","2",0,5,408,50,13780,2,0.4,13880,0.09125,25.1485,33.19871,-87.59427,"Tuscaloosa","Tuscaloosa"
"120600","120600_1","1","1",45,37,2,"0","1","1",0,"1",1,13,112,0,0,0,0,"1","1","1","2","2","1","2","3","5","2",3,"1","1","2","2",0,5,408,50,13780,2,0.4,13880,0.09125,25.1485,33.19871,-87.59427,"Tuscaloosa","Tuscaloosa"
"120600","120600_3","2","5",15,28,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","1","2","2",0,5,408,13780,13780,0,0,13880,25.1485,25.1485,33.19871,-87.59427,"Tuscaloosa","Tuscaloosa"
"120958","120958_3","2","5",15,30,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","1","2","2",0,5,52,12790,12790,0,0,12866,23.34175,23.34175,33.20051,-87.59089,"Tuscaloosa","Tuscaloosa"
"120958","120958_2","1","1",45,40,2,"0","1","1",0,"1",1,14,124,0,0,0,0,"1","1","1","2","2","1","2","3","5","2",3,"1","1","2","2",0,5,52,38,12790,0,0,12866,0.06935,23.34175,33.20051,-87.59089,"Tuscaloosa","Tuscaloosa"
"120958","120958_1","1","1",45,40,2,"0","1","4",13,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","5","2",3,"1","1","2","2",0,5,52,38,12790,0,0,12866,0.06935,23.34175,33.20051,-87.59089,"Tuscaloosa","Tuscaloosa"
"123176","123176_2","1","1",55,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","1","1",3,"1","1","2","2",0,18,887,75,1560,0,0,1710,0.136875,2.847,31.99947,-87.58614,"Wilcox","Pine Hill"
"123176","123176_1","1","1",55,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","1","1",3,"1","1","2","2",0,18,887,75,1560,0,0,1710,0.136875,2.847,31.99947,-87.58614,"Wilcox","Pine Hill"
"123176","123176_3","2","4",20,18,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","1","1",3,"1","1","2","2",0,18,887,1560,1560,0,0,1710,2.847,2.847,31.99947,-87.58614,"Wilcox","Pine Hill"
"123464","123464_3","2","4",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","1","1",3,"1","2","2","2",0,5,958,1560,1560,0,0,1710,2.847,2.847,31.99887,-87.58313,"Wilcox","Pine Hill"
"123464","123464_2","1","1",55,24,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","1","1",3,"1","2","2","2",0,5,958,75,1560,0,0,1710,0.136875,2.847,31.99887,-87.58313,"Wilcox","Pine Hill"
"123464","123464_1","1","1",55,24,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","1","1",3,"1","2","2","2",0,5,958,75,1560,0,0,1710,0.136875,2.847,31.99887,-87.58313,"Wilcox","Pine Hill"
"124164","124164_3","2","4",30,24,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","3","1",3,"1","2","2","2",0,1,315,5040,5040,0,0,5474,9.198,9.198,31.9922,-87.57727,"Wilcox","Pine Hill"
"124164","124164_2","1","1",50,57,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","3","1",3,"1","2","2","2",0,1,315,217,5040,0,0,5474,0.396025,9.198,31.9922,-87.57727,"Wilcox","Pine Hill"
"124164","124164_1","1","1",50,55,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","3","1",3,"1","2","2","2",0,1,315,217,5040,0,0,5474,0.396025,9.198,31.9922,-87.57727,"Wilcox","Pine Hill"
"124203","124203_1","1","1",45,108,5,"1","1","1",0,"1",2,26,0,0,0,0,0,"1","1","1","2","2","1","3","2","7","2",3,"1","1","2","2",0,2,207,184,37000,12,2.4,37368,0.3358,67.525,33.23828,-87.57674,"Tuscaloosa","Northport"
"124203","124203_2","1","1",45,105,5,"1","1","1",0,"1",2,26,0,0,0,0,0,"1","1","1","2","2","3","2","3","7","2",3,"1","1","2","2",0,2,207,184,37000,8,1.6,37368,0.3358,67.525,33.23828,-87.57674,"Tuscaloosa","Northport"
"124203","124203_3","2","5",25,33,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"3","1","1","2","2","3","2","2","7","2",3,"1","1","2","2",0,2,207,37000,37000,4,0.8,37368,67.525,67.525,33.23828,-87.57674,"Tuscaloosa","Northport"
"124220","124220_1","1","1",45,72,4,"0","1","1",0,"1",1,15,97,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,5,550,201,42480,7,1.4,85362,0.366825,77.526,33.23428,-87.57667,"Tuscaloosa","Northport"
"124220","124220_4","2","5",25,32,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,5,550,42480,42480,2,0.4,85362,77.526,77.526,33.23428,-87.57667,"Tuscaloosa","Northport"
"124220","124220_2","1","1",45,72,4,"0","1","1",0,"1",1,15,139,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,5,550,201,42480,6,1.2,85362,0.366825,77.526,33.23428,-87.57667,"Tuscaloosa","Northport"
"124220","124220_3","2","5",25,32,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","1","8","2",4,"2","1","2","2",0,5,550,42480,42480,1,0.2,85362,77.526,77.526,33.23428,-87.57667,"Tuscaloosa","Northport"
"124458","124458_3","2","5",25,34,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","2","2","2",0,5,1329,17190,17190,2,0.4,17372,31.37175,31.37175,33.24677,-87.57455,"Tuscaloosa","Northport"
"124458","124458_2","1","1",45,57,2,"0","1","4",15,"1",0,0,0,0,1,15,56,"1","1","1","2","2","1","3","2","5","2",3,"1","2","2","2",0,5,1329,91,17190,1,0.2,17372,0.166075,31.37175,33.24677,-87.57455,"Tuscaloosa","Northport"
"124458","124458_1","1","1",45,42,2,"0","1","4",15,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","5","2",3,"1","2","2","2",0,5,1329,91,17190,4,0.8,17372,0.166075,31.37175,33.24677,-87.57455,"Tuscaloosa","Northport"
"124653","124653_3","2","4",25,17,2,"0","3","1",0,"4",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"1","1","2","2",0,12,1804,2760,2760,0,0,5832,5.037,5.037,31.99848,-87.57237,"Wilcox","Pine Hill"
"124653","124653_4","2","4",25,20,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"1","1","2","2",0,12,1804,2760,2760,0,0,5832,5.037,5.037,31.99848,-87.57237,"Wilcox","Pine Hill"
"124653","124653_2","1","1",50,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"1","1","2","2",0,12,1804,156,2760,0,0,5832,0.2847,5.037,31.99848,-87.57237,"Wilcox","Pine Hill"
"124653","124653_1","1","1",50,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"1","1","2","2",0,12,1804,156,2760,2,0.4,5832,0.2847,5.037,31.99848,-87.57237,"Wilcox","Pine Hill"
"125862","125862_1","1","1",45,58,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","2","2","1","1","2","2","8","2",4,"2","1","2","2",0,2,424,170,32110,49,9.8,64560,0.31025,58.60075,33.2024,-87.56834,"Tuscaloosa","Tuscaloosa"
"125862","125862_3","2","5",25,62,2,"0","1","3",10,"2",0,0,0,0,0,0,0,"1","1","3","2","2","3","2","2","8","2",4,"2","1","2","2",0,2,424,32110,32110,6,1.2,64560,58.60075,58.60075,33.2024,-87.56834,"Tuscaloosa","Tuscaloosa"
"125862","125862_4","2","5",25,62,2,"0","1","1",0,"2",1,13,83,0,0,0,0,"1","1","1","2","2","2","2","2","8","2",4,"2","1","2","2",0,2,424,32110,32110,10,2,64560,58.60075,58.60075,33.2024,-87.56834,"Tuscaloosa","Tuscaloosa"
"125862","125862_2","1","1",45,58,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","1","1","2","2","8","2",4,"2","1","2","2",0,2,424,170,32110,3,0.6,64560,0.31025,58.60075,33.2024,-87.56834,"Tuscaloosa","Tuscaloosa"
"126754","126754_1","1","1",35,57,4,"0","1","1",0,"1",1,13,100,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","1",8,28,478,269,7840,1,0.2,16218,0.490925,14.308,33.19626,-87.5623,"Tuscaloosa","Tuscaloosa"
"126754","126754_4","2","1",25,28,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","8","2",4,"2","1","2","1",8,28,478,7840,7840,4,0.8,16218,14.308,14.308,33.19626,-87.5623,"Tuscaloosa","Tuscaloosa"
"126754","126754_2","1","1",35,55,4,"0","1","1",0,"1",1,13,100,0,0,0,0,"1","1","1","2","2","1","1","2","8","2",4,"2","1","2","1",8,28,478,269,7840,1,0.2,16218,0.490925,14.308,33.19626,-87.5623,"Tuscaloosa","Tuscaloosa"
"126754","126754_3","2","5",25,28,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","1","8","2",4,"2","1","2","1",8,28,478,7840,7840,1,0.2,16218,14.308,14.308,33.19626,-87.5623,"Tuscaloosa","Tuscaloosa"
"126794","126794_2","1","1",35,62,4,"0","1","1",0,"1",1,13,87,0,0,0,0,"1","1","1","2","2","1","2","3","7","2",3,"1","1","2","2",0,1,489,269,7840,1,0.2,8378,0.490925,14.308,33.19492,-87.56149,"Tuscaloosa","Tuscaloosa"
