LegID,LegType,LegRtType,LegSpeed,LegWidth,NumLanes,MergeLanes,PaveType,MedType,MedWidth,LegTCType,LTLanes,LTWidth,LTLnLength,LTOffset,RTLanes,RTWidth,RTLnLength,RTChannel,RTMoveCtrl,PedCross,Rumble,OneWay,TurnProhib,SightLt,SightRt,IntCat,AreaType,NumberLegs,IntTCType,Lighting,Terrain,Offset,OffsetDist,SkewAngle,NextPIDist,AADT,IntAADT,5YrCrashCount,1YrCrashCount
348448_2,1,5,70,17,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,9,1,4,1,1,2,2,0,20,420,990,6790,0,0
348448_3,2,5,35,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,3,2,2,9,1,4,1,1,2,2,0,20,420,6790,6790,0,0
348448_4,2,1,35,28,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,9,1,4,1,1,2,2,0,20,420,6790,6790,0,0
349642_1,1,5,70,14,1,0,1,1,0,2,0,0,0,0,0,0,0,2,1,1,2,1,1,2,2,9,1,4,1,2,1,2,0,26,375,740,1800,0,0
349642_2,1,5,70,22,1,0,1,1,0,5,0,0,0,0,0,0,0,2,1,1,2,1,1,3,3,9,1,4,1,2,1,2,0,26,375,470,1800,0,0
349642_3,2,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,3,1,2,2,3,3,2,9,1,4,1,2,1,2,0,26,375,1800,1800,0,0
349642_4,2,1,55,23,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,9,1,4,1,2,1,2,0,26,375,1800,1800,0,0
349773_1,1,5,70,17,1,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,2,1,1,3,3,9,1,4,1,2,1,2,0,28,775,690,1800,0,0
349773_2,1,5,70,16,1,0,1,1,0,2,0,0,0,0,0,0,0,2,2,1,2,1,1,2,2,9,1,4,1,2,1,2,0,28,775,470,1800,0,0
349773_3,2,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,9,1,4,1,2,1,2,0,28,775,1800,1800,0,0
349773_4,2,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,3,1,2,2,3,3,2,9,1,4,1,2,1,2,0,28,775,1800,1800,0,0
350352_1,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,1,1,3,1,2,1,2,0,57,2828,1730,1730,0,0
350352_2,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,2,1,2,0,57,2828,1730,1730,0,0
350352_3,2,3,25,24,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,1,2,1,2,0,57,2828,<Null>,1730,0,0
356676_1,1,5,70,16,1,0,1,1,0,5,0,0,0,0,0,0,0,1,1,1,2,1,1,3,3,9,1,4,1,2,2,2,0,18,692,3680,7140,0,0
356676_2,1,5,70,17,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,9,1,4,1,2,2,2,0,18,692,9000,7140,0,0
356676_3,2,1,45,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,3,3,2,9,1,4,1,2,2,2,0,18,692,7140,7140,0,0
356676_4,2,1,45,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,9,1,4,1,2,2,2,0,18,692,7140,7140,0,0
359103_1,1,1,45,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,1,2,1,24,12,836,2760,2760,0,0
359103_2,1,1,45,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,1,2,1,24,12,836,2760,2760,0,0
359103_3,2,5,40,23,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,1,2,1,24,12,836,<Null>,2760,0,0
359103_4,2,5,40,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,1,2,1,24,12,836,780,2760,0,0
360402_1,1,1,65,104,4,0,1,2,44,1,1,14,255,-39,0,0,0,1,1,1,2,2,1,2,2,4,1,4,2,2,1,1,11,7,699,12180,12180,0,0
360402_2,1,5,65,103,4,1,1,2,44,1,1,14,280,-39,0,0,0,1,1,1,2,2,1,1,2,4,1,4,2,2,1,1,11,7,699,12180,12180,0,0
360402_3,2,3,25,31,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,4,1,4,2,2,1,1,11,7,699,<Null>,12180,0,0
360402_4,2,3,25,38,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,4,1,4,2,2,1,1,11,7,699,<Null>,12180,0,0
362140_1,1,1,55,113,4,0,1,2,46,1,1,12,102,-50,0,0,0,1,1,1,2,2,1,3,2,3,1,3,1,2,1,2,0,1,5448,5910,5910,1,0.2
362140_2,1,1,55,113,4,0,1,2,46,1,1,12,102,-50,0,0,0,1,1,1,2,2,1,2,3,3,1,3,1,2,1,2,0,1,5448,5910,5910,0,0
362140_3,2,5,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,3,1,3,1,2,1,2,0,1,5448,<Null>,5910,0,0
362180_1,1,1,55,133,4,0,1,2,63,1,1,14,262,-53,1,14,240,2,1,1,2,2,1,2,2,4,1,4,2,2,1,2,0,2,2202,5910,5910,0,0
362180_2,1,1,55,131,4,0,1,2,59,1,1,15,259,-53,1,14,226,2,1,1,2,2,1,2,2,4,1,4,2,2,1,2,0,2,2202,5910,5910,0,0
362180_3,2,5,25,25,2,0,1,1,0,2,0,0,0,0,0,0,0,2,3,1,2,2,1,2,2,4,1,4,2,2,1,2,0,2,2202,<Null>,5910,0,0
362180_4,2,5,25,26,2,0,1,1,0,2,0,0,0,0,0,0,0,2,3,1,2,2,1,2,2,4,1,4,2,2,1,2,0,2,2202,<Null>,5910,0,0
366386_1,1,5,65,26,1,1,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,3,3,9,2,4,1,1,3,1,11,1,1078,1770,7280,0,0
366386_2,1,5,65,19,1,0,1,1,0,5,0,0,0,0,0,0,0,2,1,1,2,1,1,2,2,9,2,4,1,1,3,1,11,1,1078,1400,7280,0,0
366386_3,2,1,50,69,2,1,1,2,23,1,0,0,0,0,1,14,201,2,1,1,2,2,3,3,2,9,2,4,1,1,3,1,11,1,1078,7280,7280,0,0
366386_4,2,1,50,45,2,0,1,5,11,1,1,11,122,0,0,0,0,1,1,1,2,2,2,2,3,9,2,4,1,1,3,1,11,1,1078,7280,7280,0,0
366989_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,1,1,3,1,2,2,2,0,38,490,2280,2280,1,0.2
366989_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,2,2,2,0,38,490,2280,2280,1,0.2
366989_3,2,3,45,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,1,2,2,2,0,38,490,308,2280,0,0
369693_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,23,47,4698,2280,2280,1,0.2
369693_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,23,47,4698,2280,2280,0,0
369693_3,2,3,40,18,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,23,47,4698,130,2280,0,0
369693_4,2,3,40,24,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,23,47,4698,160,2280,1,0.2
37191_1,1,1,55,21,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,11,15,6829,1640,1640,1,0.2
37191_2,1,1,55,22,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,11,15,6829,1640,1640,0,0
37191_3,2,5,25,27,2,0,3,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,11,15,6829,<Null>,1640,0,0
37191_4,2,5,25,20,2,0,3,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,11,15,6829,<Null>,1640,0,0
372545_1,1,1,55,113,4,0,1,2,21,1,2,24,192,-31,2,26,209,1,1,1,2,2,1,2,2,8,2,4,2,1,1,2,0,14,185,30910,30910,6,1.2
372545_2,1,1,55,90,4,0,1,2,32,1,1,11,123,-31,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,1,2,0,14,185,30910,30910,3,0.6
372545_3,2,5,25,33,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,1,2,0,14,185,<Null>,30910,3,0.6
372545_4,2,5,25,67,2,0,1,5,16,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,1,2,0,14,185,<Null>,30910,5,1
